id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
34154554,3-bedroom apt near Ho Man Tin MTR,56570136,The Grand Blossom,,Kowloon City,22.30652,114.18342,Entire home/apt,,1,10,2024-12-29,0.14,69,0,1,
34166290,Convenient North Point Studio Room near MTR (N9bs),7518056,Jovee,,Eastern,22.29308,114.20321,Private room,220,29,0,,,215,364,0,
34167041,Available  Wanchai Room (W10d) Can move in Anytime,7518056,Jovee,,Wan Chai,22.27848,114.17934,Private room,200,29,0,,,215,364,0,
34167633,Convenient Room in Prince Edward(PE4c),7518056,Jovee,,Sham Shui Po,22.32806,114.1654,Private room,160,39,0,,,215,364,0,
34173297,7J/HKUST  Sai kung room with bathroom /Long Term,94933332,Queenie CNT,,Sai Kung,22.35217,114.24778,Private room,399,30,0,,,6,329,0,
34183184,舒適大床房,10625315,H.Z,,Kowloon City,22.31802,114.17865,Private room,,1,1,2024-05-04,0.06,7,0,0,
34218768,"300 SQ FT WIDE STUDIO IN HAIPHONG RD, TST",156409670,Tushita,,Yau Tsim Mong,22.29713,114.17068,Entire home/apt,755,26,0,,,87,363,0,
34307992,Cozy Private Room in Sai Ying Pun Shared Flat,23134064,Dustin,,Wan Chai,22.25925,114.19227,Private room,250,28,1,2024-06-01,0.06,9,128,0,
34322947,109-doublebed room（120cm*200cm）without window,37289493,Ken,,Yau Tsim Mong,22.317,114.16959,Private room,,1,4,2024-03-28,0.05,28,0,0,
34325536,"1 BR, PATERSON STREET, BUNK BEDS, CAUSEWAY BAY",138649185,Sidharth,,Wan Chai,22.25992,114.19029,Entire home/apt,823,25,0,,,135,363,0,
34350330,Tsim Sha Tsui Room Available with LIFT (T5c),7518056,Jovee,,Kowloon City,22.31781,114.18046,Entire home/apt,160,29,0,,,215,363,0,
34374955,海边高端会所公寓 两层超低密度 近海岛渡轮  商超地铁,254199847,Chen,,Tai Po,22.43173,114.20431,Entire home/apt,972,28,75,2025-03-01,0.97,1,326,2,
34398550,Last Min & Long stay %! Cozy & Modern flat @KTown,259678385,Irene,,Central & Western,22.27948,114.1306,Entire home/apt,768,3,24,2025-06-23,0.32,1,89,5,
34400183,Room in share flat in Fortress Hill (F4g),97240131,Jov,,Eastern,22.2917,114.19632,Entire home/apt,160,29,0,,,290,364,0,
34401833,Yau Ma Tei Studio Available  1/walkup (Y10A),7518056,Jovee,,Kowloon City,22.31966,114.17865,Private room,217,29,0,,,215,363,0,
34410235,Room For 2  Available  Tsim Sha Tsui  (T5b),7518056,Jovee,,Kowloon City,22.31759,114.18048,Private room,170,30,0,,,215,363,0,
34424841,Fortress Hill Ensuite (F4b),7518056,Jovee,,Wan Chai,22.25801,114.18992,Private room,217,29,0,,,215,363,0,
34425048,Room For 2ppl Available  Tsim Sha Tsui  (T5d),7518056,Jovee,,Kowloon City,22.31822,114.17874,Entire home/apt,180,29,0,,,215,363,0,
34431253,西堤_海景樓三房一廳1,46439433,Kennis,,Islands,22.20452,114.02573,Entire home/apt,,1,9,2024-08-12,0.12,6,0,0,
34451688,Sai Ying Poon Room  (S3e),97240131,Jov,,Central & Western,22.28708,114.14441,Private room,,29,0,,,290,364,0,
